"time","TK_101.level","TK_102.level","PB_SHUT.combiTimeTable.y[1]","PB_START.combiTimeTable.y[1]","PB_STOP.combiTimeTable.y[1]","XV_101.flow_m3s","drainRequest_m3s","time_s","transferRequest_m3s","wait_remaining_s","controller_state_id","PB_SHUT.y","PB_START.y","PB_STOP.y","valve1_cmd","valve2_cmd","valve3_cmd","PB_SHUT.realToBoolean.u","PB_START.realToBoolean.u","PB_STOP.realToBoolean.u","PLC_101.LT101_level_m","PLC_101.LT102_level_m","PLC_101.wait_remaining_s","TK_101.inflow_m3s","TK_101.level_m","TK_101.outflowRequest_m3s","TK_102.inflow_m3s","TK_102.level_m","TK_102.outflowRequest_m3s","XV_102.flow_m3s","XV_103.flow_m3s","tank1_level_m","tank2_level_m","PLC_101.controller_state_id","PB_SHUT.realToBoolean.y","PB_START.realToBoolean.y","PB_STOP.realToBoolean.y","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","PLC_101.valve1_cmd","PLC_101.valve2_cmd","PLC_101.valve3_cmd","XV_101.openCmd","XV_102.openCmd","XV_103.openCmd"
509,0.04999999989499464,142.8303568225475,0,0,0,0,0.005,509,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8303568225475,0,0,0.04999999989499464,0,0.04999999989499464,142.8303568225475,0.005,0,0.005,0.04999999989499464,142.8303568225475,5,0,0,0,0,0,0,0,0,1,0,0,1
509.0000000000472,0.04999999989499464,142.830356822549,0,0,0,0,0.005,509.0000000000472,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.830356822549,0,0,0.04999999989499464,0,0.04999999989499464,142.830356822549,0.005,0,0.005,0.04999999989499464,142.830356822549,5,0,0,0,0,0,0,0,0,1,0,0,1
509.0000000000472,0.04999999989499464,142.830356822549,0,0,0,0,0.005,509.0000000000472,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.830356822549,0,0,0.04999999989499464,0,0.04999999989499464,142.830356822549,0.005,0,0.005,0.04999999989499464,142.830356822549,5,0,0,0,0,0,0,0,0,1,0,0,1
509.1,0.04999999989499464,142.8335711082543,0,0,0,0,0.005,509.1,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8335711082543,0,0,0.04999999989499464,0,0.04999999989499464,142.8335711082543,0.005,0,0.005,0.04999999989499464,142.8335711082543,5,0,0,0,0,0,0,0,0,1,0,0,1
509.1000000000473,0.04999999989499464,142.8335711082558,0,0,0,0,0.005,509.1000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8335711082558,0,0,0.04999999989499464,0,0.04999999989499464,142.8335711082558,0.005,0,0.005,0.04999999989499464,142.8335711082558,5,0,0,0,0,0,0,0,0,1,0,0,1
509.1000000000473,0.04999999989499464,142.8335711082558,0,0,0,0,0.005,509.1000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8335711082558,0,0,0.04999999989499464,0,0.04999999989499464,142.8335711082558,0.005,0,0.005,0.04999999989499464,142.8335711082558,5,0,0,0,0,0,0,0,0,1,0,0,1
509.2,0.04999999989499464,142.836785393961,0,0,0,0,0.005,509.2,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.836785393961,0,0,0.04999999989499464,0,0.04999999989499464,142.836785393961,0.005,0,0.005,0.04999999989499464,142.836785393961,5,0,0,0,0,0,0,0,0,1,0,0,1
509.2000000000473,0.04999999989499464,142.8367853939625,0,0,0,0,0.005,509.2000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8367853939625,0,0,0.04999999989499464,0,0.04999999989499464,142.8367853939625,0.005,0,0.005,0.04999999989499464,142.8367853939625,5,0,0,0,0,0,0,0,0,1,0,0,1
509.2000000000473,0.04999999989499464,142.8367853939625,0,0,0,0,0.005,509.2000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8367853939625,0,0,0.04999999989499464,0,0.04999999989499464,142.8367853939625,0.005,0,0.005,0.04999999989499464,142.8367853939625,5,0,0,0,0,0,0,0,0,1,0,0,1
509.3,0.04999999989499464,142.8399996796678,0,0,0,0,0.005,509.3,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8399996796678,0,0,0.04999999989499464,0,0.04999999989499464,142.8399996796678,0.005,0,0.005,0.04999999989499464,142.8399996796678,5,0,0,0,0,0,0,0,0,1,0,0,1
