"time","tankA.level_m","tankB.level_m","der(tankA.level_m)","der(tankB.level_m)","q_m3s","valve_open_cmd","zeroFlow.y","valveCommand.openCmd","connectingFlow.level_A_m","connectingFlow.level_B_m","connectingFlow.q_m3s","level_A_m","level_B_m","tankA.qIn_m3s","tankA.qOut_m3s","tankB.qIn_m3s","tankB.qOut_m3s","connectingFlow.openCmd"
105.15,0.3999694043523481,0.4000305956476519,-0,0,0,1,0,1,0.3999694043523481,0.4000305956476519,0,0.3999694043523481,0.4000305956476519,0,0,0,0,1
105.3,0.3999688571753794,0.4000311428246205,-0,0,0,1,0,1,0.3999688571753794,0.4000311428246205,0,0.3999688571753794,0.4000311428246205,0,0,0,0,1
105.45,0.399968313081405,0.400031686918595,-0,0,0,1,0,1,0.399968313081405,0.400031686918595,0,0.399968313081405,0.400031686918595,0,0,0,0,1
105.6,0.3999677720704249,0.400032227929575,-0,0,0,1,0,1,0.3999677720704249,0.400032227929575,0,0.3999677720704249,0.400032227929575,0,0,0,0,1
105.75,0.3999672341424392,0.4000327658575608,-0,0,0,1,0,1,0.3999672341424392,0.4000327658575608,0,0.3999672341424392,0.4000327658575608,0,0,0,0,1
105.9,0.3999666992974477,0.4000333007025523,-0,0,0,1,0,1,0.3999666992974477,0.4000333007025523,0,0.3999666992974477,0.4000333007025523,0,0,0,0,1
106.05,0.3999661675354505,0.4000338324645494,-0,0,0,1,0,1,0.3999661675354505,0.4000338324645494,0,0.3999661675354505,0.4000338324645494,0,0,0,0,1
106.2,0.3999656388564476,0.4000343611435523,-0,0,0,1,0,1,0.3999656388564476,0.4000343611435523,0,0.3999656388564476,0.4000343611435523,0,0,0,0,1
106.35,0.399965113260439,0.4000348867395609,-0,0,0,1,0,1,0.399965113260439,0.4000348867395609,0,0.399965113260439,0.4000348867395609,0,0,0,0,1
106.5,0.3999645907474247,0.4000354092525752,-0,0,0,1,0,1,0.3999645907474247,0.4000354092525752,0,0.3999645907474247,0.4000354092525752,0,0,0,0,1
106.65,0.3999640713174047,0.4000359286825952,-0,0,0,1,0,1,0.3999640713174047,0.4000359286825952,0,0.3999640713174047,0.4000359286825952,0,0,0,0,1
106.8,0.3999635549703791,0.4000364450296208,-0,0,0,1,0,1,0.3999635549703791,0.4000364450296208,0,0.3999635549703791,0.4000364450296208,0,0,0,0,1
106.95,0.3999630417063477,0.4000369582936522,-0,0,0,1,0,1,0.3999630417063477,0.4000369582936522,0,0.3999630417063477,0.4000369582936522,0,0,0,0,1
107.1,0.3999625315253106,0.4000374684746893,-0,0,0,1,0,1,0.3999625315253106,0.4000374684746893,0,0.3999625315253106,0.4000374684746893,0,0,0,0,1
107.25,0.3999620244272679,0.4000379755727321,-0,0,0,1,0,1,0.3999620244272679,0.4000379755727321,0,0.3999620244272679,0.4000379755727321,0,0,0,0,1
107.4,0.3999615204122194,0.4000384795877805,-0,0,0,1,0,1,0.3999615204122194,0.4000384795877805,0,0.3999615204122194,0.4000384795877805,0,0,0,0,1
107.55,0.3999610194801652,0.4000389805198348,-0,0,0,1,0,1,0.3999610194801652,0.4000389805198348,0,0.3999610194801652,0.4000389805198348,0,0,0,0,1
107.7,0.3999605216311052,0.4000394783688947,-0,0,0,1,0,1,0.3999605216311052,0.4000394783688947,0,0.3999605216311052,0.4000394783688947,0,0,0,0,1
107.85,0.3999600268650397,0.4000399731349602,-0,0,0,1,0,1,0.3999600268650397,0.4000399731349602,0,0.3999600268650397,0.4000399731349602,0,0,0,0,1
108,0.3999595351819684,0.4000404648180315,-0,0,0,1,0,1,0.3999595351819684,0.4000404648180315,0,0.3999595351819684,0.4000404648180315,0,0,0,0,1
