"time","tank1.level","tank2.level","der(tank1.level)","der(tank2.level)","PLC_101.waitElapsed","shutCmd.combiTimeTable.y[1]","startCmd.combiTimeTable.y[1]","stopCmd.combiTimeTable.y[1]","tank1.qOut","tank2.qOut","valve1.flowOut","valve1_open","valve2.flowOut","valve2_open","valve3.flowOut","valve3_open","PLC_101.remainingWait","PLC_101.tEnter","PLC_101.mode","PLC_101.resumeMode","controller_state","PLC_101.shutPulse","PLC_101.shutSample","PLC_101.startPulse","PLC_101.startSample","PLC_101.stopPulse","PLC_101.stopSample","PLC_101.valve1Cmd","PLC_101.valve2Cmd","PLC_101.valve3Cmd","shutCmd.y","startCmd.y","stopCmd.y","PLC_101.tank1Level","PLC_101.tank2Level","shutCmd.realToBoolean.u","startCmd.realToBoolean.u","stopCmd.realToBoolean.u","tank1.inflow","tank1.levelOut","tank1.outflowCmd","tank1_level_m","tank2.inflow","tank2.levelOut","tank2.outflowCmd","tank2_level_m","PLC_101.controller_state","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","shutCmd.realToBoolean.y","startCmd.realToBoolean.y","stopCmd.realToBoolean.y","valve1.openCmd","valve2.openCmd","valve3.openCmd"
451.2000000000341,0.04999999989497447,0.688571429232311,0,-0.003571428571428572,11.1999998853679,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.688571429232311,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.688571429232311,0.005,0.688571429232311,6,0,0,0,0,0,0,0,0,1
451.3000000000341,0.04999999989497447,0.688214286375168,0,-0.003571428571428572,11.29999988536792,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.688214286375168,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.688214286375168,0.005,0.688214286375168,6,0,0,0,0,0,0,0,0,1
451.3000000000341,0.04999999989497447,0.688214286375168,0,-0.003571428571428572,11.29999988536792,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.688214286375168,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.688214286375168,0.005,0.688214286375168,6,0,0,0,0,0,0,0,0,1
451.4000000000341,0.04999999989497447,0.6878571435180251,0,-0.003571428571428572,11.39999988536795,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6878571435180251,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6878571435180251,0.005,0.6878571435180251,6,0,0,0,0,0,0,0,0,1
451.4000000000341,0.04999999989497447,0.6878571435180251,0,-0.003571428571428572,11.39999988536795,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6878571435180251,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6878571435180251,0.005,0.6878571435180251,6,0,0,0,0,0,0,0,0,1
451.5000000000342,0.04999999989497447,0.6875000006608821,0,-0.003571428571428572,11.49999988536797,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6875000006608821,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6875000006608821,0.005,0.6875000006608821,6,0,0,0,0,0,0,0,0,1
451.5000000000342,0.04999999989497447,0.6875000006608821,0,-0.003571428571428572,11.49999988536797,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6875000006608821,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6875000006608821,0.005,0.6875000006608821,6,0,0,0,0,0,0,0,0,1
451.6000000000342,0.04999999989497447,0.6871428578037392,0,-0.003571428571428572,11.59999988536799,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6871428578037392,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6871428578037392,0.005,0.6871428578037392,6,0,0,0,0,0,0,0,0,1
451.6000000000342,0.04999999989497447,0.6871428578037392,0,-0.003571428571428572,11.59999988536799,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6871428578037392,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6871428578037392,0.005,0.6871428578037392,6,0,0,0,0,0,0,0,0,1
451.7000000000342,0.04999999989497447,0.6867857149465962,0,-0.003571428571428572,11.69999988536802,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6867857149465962,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6867857149465962,0.005,0.6867857149465962,6,0,0,0,0,0,0,0,0,1
451.7000000000342,0.04999999989497447,0.6867857149465962,0,-0.003571428571428572,11.69999988536802,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6867857149465962,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6867857149465962,0.005,0.6867857149465962,6,0,0,0,0,0,0,0,0,1
451.8,0.04999999989497447,0.6864285720895756,0,-0.003571428571428572,11.79999988533382,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6864285720895756,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6864285720895756,0.005,0.6864285720895756,6,0,0,0,0,0,0,0,0,1
451.8000000000342,0.04999999989497447,0.6864285720894534,0,-0.003571428571428572,11.79999988536804,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6864285720894534,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6864285720894534,0.005,0.6864285720894534,6,0,0,0,0,0,0,0,0,1
451.8000000000342,0.04999999989497447,0.6864285720894534,0,-0.003571428571428572,11.79999988536804,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6864285720894534,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6864285720894534,0.005,0.6864285720894534,6,0,0,0,0,0,0,0,0,1
451.9000000000343,0.04999999989497447,0.6860714292323105,0,-0.003571428571428572,11.89999988536806,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6860714292323105,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6860714292323105,0.005,0.6860714292323105,6,0,0,0,0,0,0,0,0,1
