"time","capacitor.v","inductor.i","der(capacitor.v)","der(inductor.i)","ground.p.i","ground.p.v","idealSwitch.LossPower","idealSwitch.T_heatPort","idealSwitch.v","inductor.v","resistor.LossPower","resistor.R_actual","resistor.n.v","resistor.v","switch_closed","idealSwitch.control","capacitor.i","capacitor.n.i","capacitor.n.v","capacitor.p.i","capacitor.p.v","capacitor_voltage_V","idealSwitch.i","idealSwitch.n.i","idealSwitch.n.v","idealSwitch.p.i","idealSwitch.p.v","inductor.n.i","inductor.n.v","inductor.p.i","inductor.p.v","loop_current_A","resistor.i","resistor.n.i","resistor.p.i","resistor.p.v","scheduledSwitch.closed"
43.5,0.1868641830146313,-0.1221226429701767,-0.1221226429701767,-0.1624395322979529,0,0,1.491393992602125e-08,293.15,-1.221226429701767e-07,-0.1624395322979529,0.00298278798520425,0.2,0.02442465071667831,-0.02442452859403534,1,1,-0.1221226429701767,0.1221226429701767,0,-0.1221226429701767,0.1868641830146313,0.1868641830146313,-0.1221226429701767,0.1221226429701767,1.221226429701767e-07,-0.1221226429701767,0,0.1221226429701767,0.1868641830146313,-0.1221226429701767,0.02442465071667831,-0.1221226429701767,-0.1221226429701767,0.1221226429701767,-0.1221226429701767,1.221226429701767e-07,1
43.65,0.1668078699117623,-0.1446789319393392,-0.1446789319393392,-0.1378719388449625,0,0,2.093199334710794e-08,293.15,-1.446789319393392e-07,-0.1378719388449625,0.004186398669421588,0.2,0.02893593106679978,-0.02893578638786784,1,1,-0.1446789319393392,0.1446789319393392,0,-0.1446789319393392,0.1668078699117623,0.1668078699117623,-0.1446789319393392,0.1446789319393392,1.446789319393392e-07,-0.1446789319393392,0,0.1446789319393392,0.1668078699117623,-0.1446789319393392,0.02893593106679978,-0.1446789319393392,-0.1446789319393392,0.1446789319393392,-0.1446789319393392,1.446789319393392e-07,1
43.8,0.1436538512259743,-0.1633676375687516,-0.1633676375687516,-0.1109801603445865,0,0,2.668898500479499e-08,293.15,-1.633676375687516e-07,-0.1109801603445865,0.005337797000958999,0.2,0.0326736908813879,-0.03267352751375033,1,1,-0.1633676375687516,0.1633676375687516,0,-0.1633676375687516,0.1436538512259743,0.1436538512259743,-0.1633676375687516,0.1633676375687516,1.633676375687516e-07,-0.1633676375687516,0,0.1633676375687516,0.1436538512259743,-0.1633676375687516,0.0326736908813879,-0.1633676375687516,-0.1633676375687516,0.1633676375687516,-0.1633676375687516,1.633676375687516e-07,1
43.95,0.1180059417158973,-0.1778895822755435,-0.1778895822755435,-0.08242784737120634,0,0,3.164470348216734e-08,293.15,-1.778895822755434e-07,-0.08242784737120634,0.00632894069643347,0.2,0.03557809434469097,-0.03557791645510869,1,1,-0.1778895822755435,0.1778895822755435,0,-0.1778895822755435,0.1180059417158973,0.1180059417158973,-0.1778895822755435,0.1778895822755435,1.778895822755434e-07,-0.1778895822755435,0,0.1778895822755435,0.1180059417158973,-0.1778895822755435,0.03557809434469097,-0.1778895822755435,-0.1778895822755435,0.1778895822755435,-0.1778895822755435,1.778895822755434e-07,1
44.1,0.09050529739278876,-0.1880466517697141,-0.1880466517697141,-0.05289577899219417,0,0,3.536154324180011e-08,293.15,-1.880466517697141e-07,-0.05289577899219417,0.007072308648360022,0.2,0.03760951840059459,-0.03760933035394282,1,1,-0.1880466517697141,0.1880466517697141,0,-0.1880466517697141,0.09050529739278876,0.09050529739278876,-0.1880466517697141,0.1880466517697141,1.880466517697141e-07,-0.1880466517697141,0,0.1880466517697141,0.09050529739278876,-0.1880466517697141,0.03760951840059459,-0.1880466517697141,-0.1880466517697141,0.1880466517697141,-0.1880466517697141,1.880466517697141e-07,1
44.25,0.06181510634268256,-0.1937431215685469,-0.1937431215685469,-0.02306628828585161,0,0,3.753639715512474e-08,293.15,-1.937431215685469e-07,-0.02306628828585161,0.007507279431024949,0.2,0.03874881805683095,-0.03874862431370938,1,1,-0.1937431215685469,0.1937431215685469,0,-0.1937431215685469,0.06181510634268256,0.06181510634268256,-0.1937431215685469,0.1937431215685469,1.937431215685469e-07,-0.1937431215685469,0,0.1937431215685469,0.06181510634268256,-0.1937431215685469,0.03874881805683095,-0.1937431215685469,-0.1937431215685469,0.1937431215685469,-0.1937431215685469,1.937431215685469e-07,1
44.4,0.03260527656081622,-0.1949848057306185,-0.1949848057306185,0.006391879570113224,0,0,3.801907446580706e-08,293.15,-1.949848057306185e-07,0.006391879570113224,0.007603814893161412,0.2,0.03899715613092945,-0.03899696114612371,1,1,-0.1949848057306185,0.1949848057306185,0,-0.1949848057306185,0.03260527656081622,0.03260527656081622,-0.1949848057306185,0.1949848057306185,1.949848057306185e-07,-0.1949848057306185,0,0.1949848057306185,0.03260527656081622,-0.1949848057306185,0.03899715613092945,-0.1949848057306185,-0.1949848057306185,0.1949848057306185,-0.1949848057306185,1.949848057306185e-07,1
44.55,0.003537409197922886,-0.1918759083800191,-0.1918759083800191,0.03483796435398932,0,0,3.68163642166575e-08,293.15,-1.918759083800191e-07,0.03483796435398932,0.007363272843331501,0.2,0.03837537355191221,-0.03837518167600383,1,1,-0.1918759083800191,0.1918759083800191,0,-0.1918759083800191,0.003537409197922886,0.003537409197922886,-0.1918759083800191,0.1918759083800191,1.918759083800191e-07,-0.1918759083800191,0,0.1918759083800191,0.003537409197922886,-0.1918759083800191,0.03837537355191221,-0.1918759083800191,-0.1918759083800191,0.1918759083800191,-0.1918759083800191,1.918759083800191e-07,1
44.7,-0.02474958120301645,-0.1846137804607442,-0.1846137804607442,0.06167252190894576,0,0,3.408224793600787e-08,293.15,-1.846137804607442e-07,0.06167252190894576,0.006816449587201573,0.2,0.0369229407059293,-0.03692275609214885,1,1,-0.1846137804607442,0.1846137804607442,0,-0.1846137804607442,-0.02474958120301645,-0.02474958120301645,-0.1846137804607442,0.1846137804607442,1.846137804607442e-07,-0.1846137804607442,0,0.1846137804607442,-0.02474958120301645,-0.1846137804607442,0.0369229407059293,-0.1846137804607442,-0.1846137804607442,0.1846137804607442,-0.1846137804607442,1.846137804607442e-07,1
44.85,-0.05165295327437386,-0.1734818598056929,-0.1734818598056929,0.08634949871737226,0,0,3.00959556816421e-08,293.15,-1.734818598056929e-07,0.08634949871737226,0.00601919113632842,0.2,0.0346965454429984,-0.03469637196113859,1,1,-0.1734818598056929,0.1734818598056929,0,-0.1734818598056929,-0.05165295327437386,-0.05165295327437386,-0.1734818598056929,0.1734818598056929,1.734818598056929e-07,-0.1734818598056929,0,0.1734818598056929,-0.05165295327437386,-0.1734818598056929,0.0346965454429984,-0.1734818598056929,-0.1734818598056929,0.1734818598056929,-0.1734818598056929,1.734818598056929e-07,1
