"time","plant.h1","plant.h2","der(plant.h1)","der(plant.h2)","controller.activeWaitDuration","controller.waitElapsed","controller_state_id","shutSchedule.combiTimeTable.y[1]","startSchedule.combiTimeTable.y[1]","stopSchedule.combiTimeTable.y[1]","time_s","u1Real.y","u2Real.y","u3Real.y","valve1_open_cmd","valve2_open_cmd","valve3_open_cmd","wait_remaining_s","controller.storedWaitRemaining","controller.tEnter","controller.mode","controller.resumeMode","controller.shutButton","controller.shutPulse","controller.startButton","controller.startPulse","controller.stopButton","controller.stopPulse","controller.valve1","controller.valve2","controller.valve3","controller.controller_state_id","controller.level1","controller.level2","controller.wait_remaining_s","plant.tank1_level_m","plant.tank2_level_m","plant.u1","plant.u2","plant.u3","shutSchedule.realToBoolean.u","startSchedule.realToBoolean.u","stopSchedule.realToBoolean.u","tank1_level_m","tank2_level_m","valve1CmdReal.y","valve2CmdReal.y","valve3CmdReal.y","shutSchedule.realToBoolean.y","shutSchedule.y","startSchedule.realToBoolean.y","startSchedule.y","stopSchedule.realToBoolean.y","stopSchedule.y","u1Real.u","u2Real.u","u3Real.u","valve1CmdReal.u","valve2CmdReal.u","valve3CmdReal.u"
37.8,0.1389999999894971,0.05,0.005,0,0,17.79999999789942,1,0,0,0,37.8,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1389999999894971,0.05,0,0.1389999999894971,0.05,1,0,0,0,0,0,0.1389999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
38.7,0.1434999999894971,0.05,0.005,0,0,18.69999999789943,1,0,0,0,38.7,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1434999999894971,0.05,0,0.1434999999894971,0.05,1,0,0,0,0,0,0.1434999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39.6,0.1479999999894971,0.05,0.005,0,0,19.59999999789943,1,0,0,0,39.6,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1479999999894971,0.05,0,0.1479999999894971,0.05,1,0,0,0,0,0,0.1479999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
40.5,0.1524999999894971,0.05,0.005,0,0,20.49999999789943,1,0,0,0,40.5,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1524999999894971,0.05,0,0.1524999999894971,0.05,1,0,0,0,0,0,0.1524999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
41.4,0.1569999999894971,0.05,0.005,0,0,21.39999999789942,1,0,0,0,41.4,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1569999999894971,0.05,0,0.1569999999894971,0.05,1,0,0,0,0,0,0.1569999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42.3,0.1614999999894971,0.05,0.005,0,0,22.29999999789942,1,0,0,0,42.3,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1614999999894971,0.05,0,0.1614999999894971,0.05,1,0,0,0,0,0,0.1614999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
43.2,0.1659999999894971,0.05,0.005,0,0,23.19999999789943,1,0,0,0,43.2,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1659999999894971,0.05,0,0.1659999999894971,0.05,1,0,0,0,0,0,0.1659999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44.1,0.1704999999894971,0.05,0.005,0,0,24.09999999789943,1,0,0,0,44.1,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1704999999894971,0.05,0,0.1704999999894971,0.05,1,0,0,0,0,0,0.1704999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
45,0.1749999999894971,0.05,0.005,0,0,24.99999999789943,1,0,0,0,45,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1749999999894971,0.05,0,0.1749999999894971,0.05,1,0,0,0,0,0,0.1749999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
45.9,0.1794999999894971,0.05,0.005,0,0,25.89999999789942,1,0,0,0,45.9,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1794999999894971,0.05,0,0.1794999999894971,0.05,1,0,0,0,0,0,0.1794999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
