time_s,I_rms_A,mmf_At,Phi_core_Wb,Phi_gap_Wb,Phi_leak_Wb,B_core_T,B_gap_T,H_core_A_m,H_gap_A_m,Vm_core_At,Vm_gap_At,U_exc_induced_V_rms,U_meas_induced_signed_V_rms,Phi_gap_over_Phi_core
0.42,1.6,959.9999999999998,0.00041994833336452106,0.0003863524666953594,3.359586666916169e-05,0.6719173333832336,0.6181639467125749,445.57902065444415,491919.2388025064,222.1211417962404,737.8788582037596,79.15839593911541,-6.0688103553321815,0.92
0.425,1.625,974.9999999999999,0.00042651002607334174,0.0003923892239874744,3.412080208586734e-05,0.6824160417173466,0.6278227583799589,452.5411928521699,499605.4769087956,225.5917846368067,749.4082153631934,80.39524587566409,-6.163635517134247,0.9199999999999999
0.43,1.65,989.9999999999998,0.0004330717187821623,0.0003984259812795893,3.4645737502572986e-05,0.6929147500514595,0.6374815700473427,459.5033650498955,507291.7150150846,229.0624274773729,760.937572522627,81.63209581221275,-6.258460678936311,0.92
0.435,1.675,1004.9999999999999,0.00043963341149098304,0.0004044627385717044,3.5170672919278646e-05,0.7034134583855727,0.6471403817147269,466.4655372476213,514977.9531213739,232.5330703179392,772.4669296820608,82.86894574876145,-6.353285840738378,0.92
0.44,1.7,1019.9999999999999,0.00044619510419980366,0.0004104994958638194,3.569560833598429e-05,0.7139121667196857,0.6567991933821109,473.427709445347,522664.1912276631,236.00371315850546,783.9962868414947,84.10579568531013,-6.448111002540443,0.92
0.445,1.725,1035.0,0.00045275679690862434,0.00041653625315593443,3.622054375268995e-05,0.7244108750537988,0.6664580050494949,480.38988164307267,530350.4293339523,239.47435599907172,795.5256440009284,85.34264562185881,-6.5429361643425095,0.9200000000000002
0.45,1.75,1049.9999999999998,0.0004593184896174449,0.0004225730104480493,3.674547916939559e-05,0.7349095833879117,0.6761168167168787,487.3520538407983,538036.6674402413,242.94499883963795,807.0550011603619,86.57949555840747,-6.637761326144573,0.92
0.455,1.775,1065.0,0.00046588018232626564,0.0004286097677401644,3.727041458610125e-05,0.7454082917220248,0.6857756283842629,494.31422603852405,545722.9055465306,246.41564168020423,818.5843583197959,87.81634549495617,-6.73258648794664,0.92
0.46,1.8,1080.0,0.00047244187503508626,0.0004346465250322794,3.77953500028069e-05,0.7559070000561379,0.6954344400516469,501.27639823624975,553409.1436528198,249.8862845207705,830.1137154792297,89.05319543150485,-6.827411649748705,0.92
0.465,1.825,1095.0,0.00047900356774390694,0.0004406832823243944,3.8320285419512554e-05,0.7664057083902509,0.7050932517190309,508.2385704339755,561095.381759109,253.35692736133677,841.6430726386635,90.29004536805353,-6.922236811550771,0.92
0.47,1.85,1110.0,0.00048556526045272756,0.00044672003961650935,3.884522083621821e-05,0.7769044167243639,0.7147520633864148,515.2007426317011,568781.6198653982,256.82757020190303,853.1724297980973,91.5268953046022,-7.017061973352836,0.92
0.475,1.875,1125.0,0.0004921269531615482,0.0004527567969086244,3.937015625292386e-05,0.787403125058477,0.7244108750537989,522.1629148294269,576467.8579716873,260.2982130424693,864.701786957531,92.76374524115089,-7.111887135154902,0.92
0.48,1.9,1140.0,0.0004986886458703689,0.0004587935542007394,3.989509166962951e-05,0.79790183339259,0.7340696867211829,529.1250870271525,584154.0960779765,263.76885588303554,876.2311441169647,94.00059517769957,-7.206712296956967,0.92
0.485,1.925,1155.0,0.0005052503385791895,0.00046483031149285436,4.042002708633516e-05,0.8084005417267031,0.7437284983885668,536.0872592248783,591840.3341842656,267.2394987236018,887.7605012763984,95.23744511424825,-7.301537458759032,0.92
0.49,1.95,1170.0,0.0005118120312880101,0.00047086706878496934,4.094496250304081e-05,0.818899250060816,0.7533873100559508,543.0494314226039,599526.5722905548,270.71014156416805,899.2898584358321,96.47429505079691,-7.3963626205610975,0.92
0.495,1.975,1185.0,0.0005183737239968308,0.0004769038260770844,4.146989791974647e-05,0.8293979583949291,0.7630461217233349,550.0116036203297,607212.810396844,274.1807844047343,910.8192155952661,97.7111449873456,-7.491187782363164,0.92
0.5,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.505,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.51,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.515,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.52,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.525,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.53,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.535,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.54,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.545,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.55,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.555,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.56,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.565,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
