"time","fanRotor.fan_speed_rad_s","der(fanRotor.fan_speed_rad_s)","aerodynamicLoad.T_aero_Nm","bearingFriction.T_friction_Nm","fanRotor.domega_dt","motor_on_cmd","motor_torque_Nm","torque_balance_residual_Nm","motorCommand.motor_on_cmd","aerodynamicLoad.omega_rad_s","bearingFriction.omega_rad_s","fanRotor.T_aero_Nm","fanRotor.T_friction_Nm","fanRotor.motor_torque_Nm","fan_speed_rad_s","motorCommand.motor_torque_Nm"
23.1,24.99999984885195,2.267220716722917e-07,0.2499999969770391,0.2499999984885195,2.267220716722917e-07,1,0.5,4.534441433445835e-09,1,24.99999984885195,24.99999984885195,0.2499999969770391,0.2499999984885195,0.5,24.99999984885195,0.5
23.16,24.99999985028523,2.245721580917959e-07,0.2499999970057046,0.2499999985028523,2.245721580917959e-07,1,0.5,4.491443161835917e-09,1,24.99999985028523,24.99999985028523,0.2499999970057046,0.2499999985028523,0.5,24.99999985028523,0.5
23.22,24.9999998517185,2.224222458990788e-07,0.2499999970343701,0.249999998517185,2.224222458990788e-07,1,0.5,4.448444917981575e-09,1,24.9999998517185,24.9999998517185,0.2499999970343701,0.249999998517185,0.5,24.9999998517185,0.5
23.28,24.99999985315178,2.202723281552466e-07,0.2499999970630357,0.2499999985315178,2.202723281552466e-07,1,0.5,4.405446563104931e-09,1,24.99999985315178,24.99999985315178,0.2499999970630357,0.2499999985315178,0.5,24.99999985315178,0.5
23.34,24.99999985458506,2.181224173503082e-07,0.2499999970917011,0.2499999985458506,2.181224173503082e-07,1,0.5,4.362448347006165e-09,1,24.99999985458506,24.99999985458506,0.2499999970917011,0.2499999985458506,0.5,24.99999985458506,0.5
23.4,24.99999985601833,2.159724968309185e-07,0.2499999971203667,0.2499999985601833,2.159724968309185e-07,1,0.5,4.319449936618369e-09,1,24.99999985601833,24.99999985601833,0.2499999971203667,0.2499999985601833,0.5,24.99999985601833,0.5
23.46,24.99999985745161,2.138225846382014e-07,0.2499999971490322,0.2499999985745161,2.138225846382014e-07,1,0.5,4.276451692764027e-09,1,24.99999985745161,24.99999985745161,0.2499999971490322,0.2499999985745161,0.5,24.99999985745161,0.5
23.52,24.99999985888488,2.11672673833263e-07,0.2499999971776977,0.2499999985888488,2.11672673833263e-07,1,0.5,4.233453476665261e-09,1,24.99999985888488,24.99999985888488,0.2499999971776977,0.2499999985888488,0.5,24.99999985888488,0.5
23.58,24.99999986031816,2.095227560894308e-07,0.2499999972063633,0.2499999986031816,2.095227560894308e-07,1,0.5,4.190455121788617e-09,1,24.99999986031816,24.99999986031816,0.2499999972063633,0.2499999986031816,0.5,24.99999986031816,0.5
23.64,24.99999986175144,2.073728438967137e-07,0.2499999972350287,0.2499999986175144,2.073728438967137e-07,1,0.5,4.147456877934275e-09,1,24.99999986175144,24.99999986175144,0.2499999972350287,0.2499999986175144,0.5,24.99999986175144,0.5
